category,name,description,showroom,warehouse,source_row
Electrical Supplies,No More Nails,,0.0,0.0,279
Electrical Supplies,Outlet Flush Type 1 Gang,,0.0,0.0,280
Electrical Supplies,Outlet Flush Type 3 Prong,Outlet Flush Type 1 Gang 3 Prong,0.0,0.0,281
Electrical Supplies,Parallel Plug - Omni,,0.0,0.0,282
Electrical Supplies,Pigtail Hose 1/2,,8.0,0.0,283
Electrical Supplies,Pin Light 12W Day Light,,0.0,0.0,284
Electrical Supplies,Pin Light 12W Warm,,0.0,0.0,285
Electrical Supplies,Power Supply 20A 12V,,0.0,0.0,286
Electrical Supplies,Power Supply 30A 12V,,0.0,0.0,287
Electrical Supplies,Power Supply for Computer,,0.0,0.0,288
Electrical Supplies,"PVC Conduit Clamp 1/2""","PVC Conduit Clamp 1/2"" (Nail Cable Clip w/ nail 12.5mm)",0.0,0.0,289
Electrical Supplies,"PVC Conduit Clamp 3/4""","PVC Conduit Clamp (Nail Cable Clip w/ Nail) 19.0mm 3/4""",0.0,0.0,290
Electrical Supplies,PVC Elbow 2x45 degree,,0.0,0.0,291
Electrical Supplies,PVC Elbow 2x90 degree,,0.0,0.0,292
Electrical Supplies,PVC Moulding # 3/4,,0.0,0.0,293
Electrical Supplies,PVC Pipe Vinyl 1710,19mmx18.3M (3m Flame Retardant PVC Pipe Vinyl 1710 (19mmx18,0.0,0.0,294
Electrical Supplies,PVC Short elbow # 1/2,,0.0,0.0,295
Electrical Supplies,Receptacle # 4,,0.0,0.0,296
Electrical Supplies,Recessed Downlight,Daylgiht) (Recessed Slim Downlight (Daylgiht) 12watts,0.0,0.0,297
Electrical Supplies,Recessed Downlight,Warmwhite) (Recessed Slim Downlight R.Type 12watts(Warmwhite),0.0,0.0,298
Electrical Supplies,Regulator 4403,,0.0,0.0,299
Electrical Supplies,Riveter,,0.0,0.0,300
Electrical Supplies,Round Floor Panel Light 12W WW,,1.0,0.0,301
Electrical Supplies,Royal cord # 1.25mm x 2,"Royal cord # 1.25mm x 2, 75 meter",0.0,0.0,302
Electrical Supplies,Royal Cord # 16 AWG x 3,,0.0,0.0,303
Electrical Supplies,Royal Cord # 3x2.5mm2,,0.0,0.0,304
Electrical Supplies,Royal Cord #10mm x3c,,0.0,0.0,305
Electrical Supplies,Royal Cord #10mm x4c,,0.0,0.0,306
Electrical Supplies,"Royal Cord #2, 14x2mm",,0.0,0.0,307
Electrical Supplies,Royu 1-G Outlet,Royu Pre-Packed Set WH Series Plate WH-111 (1-G Outlet),0.0,0.0,308
Electrical Supplies,Royu 1-G Switch,Royu Pre Packed set WH Series Plate WH-501 1-G Switch,0.0,0.0,309
Electrical Supplies,Royu 2-G Outlet,Royu Pre-Packed set WH Series Plate WH-113 (2-G Outlet),0.0,0.0,310
Electrical Supplies,Royu 2-G Switch,Royu Pre-Packed set WH Series Plate WH-503 2-G Switch,0.0,0.0,311
Electrical Supplies,Royu 3-G Switch,Royu Pre-Packed set WH series plate WH-505 3-G Switch,0.0,0.0,312
Electrical Supplies,Royu PVC Moulding,"White) (Royu PVC Moulding (White) Rectangular 25mm 1""",0.0,0.0,313
Electrical Supplies,Royu PVC Moulding,White) 16mm (Royu PVC Moulding (White) Rectangular RPE 16x16 (,0.0,0.0,314
Electrical Supplies,Royu PVC Switch Box,White) (Royu PVC Switch Box (White) RUB2 w/ Tox & screw,0.0,0.0,315
Electrical Supplies,Royu RCP4 Blank Plate,Royu WH Series Palte RCP4 Blank Plate,0.0,0.0,316
Electrical Supplies,Running Capacitor 40 UF,Running Capacitor 40 UF - 450 Volts,0.0,0.0,317
Electrical Supplies,Signage with light 12V,,0.0,0.0,318
Electrical Supplies,Silicon Gunner,,0.0,0.0,319
Electrical Supplies,Silicon Tube 8mm,,0.0,0.0,320
Electrical Supplies,Smoke Detector Battery Operated,,0.0,0.0,321
Electrical Supplies,Speaker Wire,1.25mm2 / 2C) (Royu Speaker Wire 150 meters (1.25mm2 / 2C) # 16/2C,0.0,0.0,322
Electrical Supplies,Square Box,w/ Cover & Screw) (PVC Square Box RUB3 w/ Cover & Screw,0.0,0.0,323
Electrical Supplies,Stainless Coupling 1/2 2 inch,,0.0,0.0,324
Electrical Supplies,Stainless Elbow 1/2,,0.0,0.0,325
Electrical Supplies,Starter Capacitor 300-360 UF,Starter Capacitor 300-360 UF 220V,0.0,0.0,326
Electrical Supplies,Starter Capacitor 400UF,Starter Capacitor 400UF - 250 Volts,0.0,0.0,327
Electrical Supplies,Surface Frame 12watts,Surface Frame for 12watts Recessed Downlight (Zigma),0.0,0.0,328
Electrical Supplies,Switch Box,,0.0,0.0,329
Electrical Supplies,Switch Flush Type 1 Gang,,0.0,0.0,330
Electrical Supplies,T5 9W Warm White,,0.0,0.0,331
Electrical Supplies,T5 LED Tube 2ft WW,,0.0,0.0,332
Electrical Supplies,T5 LED Tube 3ft WW,,0.0,0.0,333
Electrical Supplies,T8 18W Glass,,0.0,0.0,334
Electrical Supplies,T8 Casing,,0.0,0.0,335
